CPB;TITULO_ORIGINAL;DIRETOR;PAIS_DIRETOR
B0300029100000;ÍMPARES;GU RAMALHO;Não Informado
B0300029200000;MULHERES ESPERANDO;PATRICK PESSOA;Não Informado
B0300029300000;SÓ PARA MOÇAS;BRUNO PINAUD;Não Informado
B0300029400000;UMA RUA CHAMADA CARDOSO JR.;JOÃO PIMENTEL;Não Informado
B0300029600000;XUXA E OS DUENDES 2;PAULO SERGIO ALMEIDA DA SILVA;BRASIL
B0300029600000;XUXA E OS DUENDES 2;ROGERIO ESTEVES GOMES DE SOUZA;BRASIL
B0300029700000;CRIAÇÃO LITERÁRIA DE JOÃO GUIMARÃES ROSA, A;PAULO THIAGO FERREIRA PAES DE OLIVEIRA;BRASIL
B0300029800000;SONHOS TROPICAIS;ANDRE LUIZ POMPEIA STURM;BRASIL
B0300030000000;BAR ESPERANÇA - O ÚLTIMO QUE FECHA;HUGO CARVANA DE HOLLANDA;BRASIL
B0300030500000;MULHER DE TODOS, A;ROGERIO SGANZERIA;BRASIL
B0300030600000;DEUS É PAI;ALLAN SIEBER;BRASIL
B0300030700000;SEM ESSA, ARANHA;ROGERIO SGANZERIA;BRASIL
B0300030800000;COPACABANA MON AMOUR;ROGERIO SGANZERIA;BRASIL
B0300030900000;ABISMO, O;ROGERIO SGANZERIA;BRASIL
B0300031100000;ISTO É NOEL;ROGERIO SGANZERIA;BRASIL
B0300031300000;CAROLINA;JEFERSON RODRIGUES DE REZENDE;BRASIL
B0300031500000;DIAS DE NIETZSCHE EM TURIM;JULIO EDUARDO BRESSANE DE AZEVEDO;BRASIL
B0300031700000;KM 0;MARCOS VINICIUS COSTA GUTTMANN;Não Informado
B0300031800000;BAIANO FANTASMA, O;DENOY DE OLIVEIRA;Não Informado
B0300032000000;TRÊS MINUTOS;ANA LUIZA NUNES AZEVEDO;BRASIL
B0300032100000;SANDUÍCHE, O;JORGE ALBERTO FURTADO;BRASIL
B0300032200000;VISIONÁRIOS DO MUNDO;ANA CRISTINA COSTA E SILVA;Não Informado
B0300032800000;RETRATO DO ARTISTA COM UM 38 NA MÃO;PAULO SERGIO CRISTIAN HALM;BRASIL
B0300033800000;DESTERRO;CARLOS EDUARDO MENDES PAREDES;BRASIL
B0300033900000;NOVEMBRADA;CARLOS EDUARDO MENDES PAREDES;BRASIL
B0300034000000;OITAVO SELO, O;TOMAS ENRIQUE CREUS;BRASIL
B0300034500000;VISIONÁRIOS;FERNANDO SEVERO;Não Informado
B0300034800000;MARIA, MÃE DO FILHO DE DEUS;MOACYR DE GOES FILHO;BRASIL
